date,open,high,low,close,volume,dividend,unadj_close
1998-12-22,13.562074494811723,13.906040152288833,13.562074494811723,13.889660835266113,150300,0.0,26.5
1998-12-23,14.045263731280619,15.093539974781446,13.987936124214167,14.225436210632324,44000,0.0,27.140625
1998-12-24,14.225428030152633,14.225428030152633,14.151721149167386,14.200859069824219,45500,0.0,27.09375
1998-12-28,14.22543258512103,14.233622241186154,14.053449807753418,14.118967056274414,25400,0.0,26.9375
1998-12-29,14.127156601861438,14.446553185903523,13.619397929794536,14.430173873901367,123500,0.0,27.53125
1998-12-30,14.430174108098944,14.471122388768919,14.315518922223015,14.340087890625,10200,0.0,27.359375
1998-12-31,14.307321788252294,14.372839003081154,14.192666662301788,14.233614921569824,66300,0.0,27.15625
1999-01-04,14.348277426097896,14.462932611009636,14.012501527427796,14.118967056274414,50000,0.0,26.9375
1999-01-05,14.200867236175272,14.299143134003476,14.159918945413521,14.225436210632324,27900,0.0,27.140625
1999-01-06,14.3237073087855,14.405603862866606,14.233621099296283,14.397414207458496,118500,0.0,27.46875
1999-01-07,14.290942484545079,14.290942484545079,14.127149447472929,14.233614921569824,43500,0.0,27.15625
1999-01-08,14.233619045343515,14.241808699569836,13.955170801648649,14.176291465759277,63800,0.0,27.046875
1999-01-11,14.143540249118265,14.143540249118265,13.799574591641155,13.889660835266113,65400,0.0,26.5
1999-01-12,13.881463715524385,13.930601640181107,13.758618903882576,13.783187866210938,29400,0.0,26.296875
1999-01-13,13.390093324871673,13.881472896426597,13.390093324871673,13.80776596069336,73800,0.0,26.34375
1999-01-14,13.750429024863559,13.799566948716556,13.357325634039587,13.545687675476074,30800,0.0,25.84375
1999-01-15,13.66034421738255,13.742240765448392,13.537499395283785,13.693102836608887,39000,0.0,26.125
1999-01-19,13.799571298644246,13.799571298644246,13.447416066690712,13.53750228881836,39200,0.0,25.828125
1999-01-20,13.61939178876336,13.725857268771733,13.512926308754988,13.57844352722168,480500,0.0,25.90625
1999-01-21,13.521118681487756,13.594825567092474,13.291808370717522,13.37370491027832,42500,0.0,25.515625
1999-01-22,13.29181008206881,13.455603182279148,13.21810318697416,13.308189392089844,75700,0.0,25.390625
1999-01-25,13.308191211189774,13.357329147969551,13.160777400850442,13.275432586669922,179000,0.0,25.328125
1999-01-26,13.283617468035457,13.586634635925291,13.259048508476821,13.586634635925293,85000,0.0,25.921875
1999-01-27,13.717669635071491,13.8487040912871,13.676721367504113,13.766807556152344,50400,0.0,26.265625
1999-01-28,13.78318946755887,14.04525842950889,13.766810157436995,14.012499809265137,57300,0.0,26.734375
1999-01-29,14.053451994070157,14.143538224801377,13.856900217929317,14.045262336730957,167800,0.0,26.796875
1999-02-01,14.143530845083731,14.192668763480086,13.979737783762554,13.987927436828613,57200,0.0,26.6875
1999-02-02,14.037066654599641,14.102583885192871,13.90603219341318,14.102583885192871,81800,0.0,26.90625
1999-02-03,14.037067461124945,14.102584695482589,13.914222646704365,14.053446769714355,65300,0.0,26.8125
1999-02-04,13.996117089894671,14.102582579753436,13.922410212300141,13.987927436828613,34400,0.0,26.6875
