date,open,high,low,close,volume,dividend,unadj_close
2007-04-11,31.394195556640625,31.40623002317511,31.394195556640625,31.394195556640625,1900,0.0,104.3499984741211
2007-04-12,31.41524887084961,31.41524887084961,31.39418913255859,31.41524887084961,6100,0.0,104.41999816894531
2007-04-13,31.406244112900932,31.436329145064235,31.358108520507812,31.358108520507812,3400,0.0,104.2300033569336
2007-04-16,31.370103531023695,31.370103531023695,31.33400245333521,31.346036911010742,7600,0.0,104.19000244140625
2007-04-17,31.33402382348442,31.409237513749463,31.33101463317871,31.33101463317871,28100,0.0,104.13999938964844
2007-04-18,31.34604332585857,31.370109950796667,31.334008865720236,31.340024948120117,6300,0.0,104.16999816894531
2007-04-19,31.349054965264102,31.46037201689185,31.30693549607283,31.44833755493164,47500,0.0,104.52999877929688
2007-04-20,31.45133087264969,31.45133087264969,31.42425277306919,31.43027114868164,4900,0.0,104.47000122070312
2007-04-23,31.466388100202494,31.487450130137052,31.42426863101122,31.44833755493164,1700,0.0,104.52999877929688
2007-04-24,31.466374785059756,31.682990418003776,31.415230064875182,31.664939880371094,398500,0.0,105.25
2007-04-25,31.67397070170065,31.713083267211914,31.67397070170065,31.713083267211914,16300,0.0,105.41000366210938
2007-04-26,31.71910367695712,31.770248413085934,31.67698421245825,31.770248413085938,48200,0.0,105.5999984741211
2007-04-27,31.74317259819609,31.770248413085934,31.74317259819609,31.770248413085938,8300,0.0,105.5999984741211
2007-04-30,31.758214559332025,31.779274291983885,31.689019278621064,31.773258209228516,15500,0.0,105.61000061035156
2007-05-01,31.759069030123413,31.80734078382389,31.759069030123413,31.777172088623047,8600,0.293,105.33000183105469
2007-05-02,31.783241310955315,31.795309263202864,31.737987065458654,31.765140533447266,4700,0.0,105.29000091552734
2007-05-03,31.789245762029115,31.822432023254226,31.737956439038463,31.76812744140625,17200,0.0,105.30000305175781
2007-05-04,31.783216180628692,31.81036962714764,31.74097953202119,31.80735206604004,4600,0.0,105.43000030517578
2007-05-07,31.774158312315006,31.8043270111084,31.768125493245996,31.8043270111084,4200,0.0,105.41999816894531
2007-05-08,31.840528632388384,31.84354619257664,31.813375194142107,31.828460693359375,16100,0.0,105.5
2007-05-09,31.855623931607813,31.85864149294242,31.725898716643318,31.743999481201172,9400,0.0,105.22000122070312
2007-05-10,31.88879410493075,31.921980357685662,31.83147427885532,31.858625411987305,17400,0.0,105.5999984741211
2007-05-11,31.870717729154034,31.912954391928725,31.846581835646926,31.876752853393555,12200,0.0,105.66000366210938
2007-05-14,31.88577666167068,31.88879191955177,31.843540034099636,31.873708724975586,11600,0.0,105.6500015258789
2007-05-15,31.888809390967616,31.95819948955134,31.84959030151367,31.849590301513672,39400,0.0,105.56999969482422
2007-05-16,31.928012974199742,31.937063351200866,31.92499541462485,31.934045791625977,78100,0.0,105.8499984741211
2007-05-17,31.946148090931654,31.958216040488505,31.88581064487342,31.925029754638672,14500,0.0,105.81999969482422
2007-05-18,31.96421448220424,31.96421448220424,31.934045791625977,31.934045791625977,5200,0.0,105.8499984741211
2007-05-21,31.96123148898271,31.967264312499033,31.934078028844564,31.96424674987793,14600,0.0,105.94999694824219
2007-05-22,32.003456564482796,32.00647182428565,31.897864928257068,31.967252731323242,10200,0.0,105.95999908447266
2007-05-23,31.95516409746177,32.012486220753075,31.88879159717153,31.943096160888672,22500,0.0,105.87999725341797
2007-05-24,31.991384691784276,31.991384691784276,31.934062538418324,31.952165603637695,17100,0.0,105.91000366210938
2007-05-25,31.970260587571715,32.12110639402305,31.918973565792104,31.997411727905273,7400,0.0,106.05999755859375
2007-05-29,31.888818771742063,31.894853896033315,31.85261723289661,31.870718002319336,4900,0.0,105.63999938964844
2007-05-30,31.940080903038062,31.96119921661009,31.903877093318783,31.943096160888672,4300,0.0,105.87999725341797
2007-05-31,31.94612167012613,31.94612167012613,31.873716334393347,31.891817092895508,6200,0.0,105.70999908447266
2007-06-01,31.88758087158203,31.89364732167467,31.839040012618707,31.88758087158203,13500,0.586,105.11000061035156
2007-06-04,31.914897918701175,31.92096668611609,31.860290584749954,31.914897918701172,21800,0.0,105.19999694824219
2007-06-05,31.91788702368055,31.91788702368055,31.869348526000977,31.869348526000977,4500,0.0,105.05000305175781
2007-06-06,31.854211226612072,31.872412892369468,31.81780558054162,31.829940795898438,74600,0.0,104.91999816894531
2007-06-07,31.77532131120402,31.77532131120402,31.611499438479303,31.681276321411133,12100,0.0,104.43000030517578
2007-06-08,31.61454184284701,31.632743506250666,31.526563278803735,31.59634017944336,17800,0.0,104.1500015258789
2007-06-11,31.520510751802746,31.572083697263125,31.429497765473283,31.529611587524414,2900,0.0,103.93000030517578
2007-06-12,31.48106881767026,31.48410320091379,31.268708281748008,31.36882209777832,67300,0.0,103.4000015258789
2007-06-13,31.438581510118553,31.493188809318575,31.20801941532301,31.42341423034668,24600,0.0,103.58000183105469
2007-06-14,31.350601638024326,31.44768333435059,31.295996655673353,31.447683334350586,18200,0.0,103.66000366210938
2007-06-15,31.399157304880298,31.453764627557987,31.399157304880298,31.44162940979004,13500,0.0,103.63999938964844
2007-06-18,31.52353979882368,31.52353979882368,31.368818674077836,31.459829330444336,14600,0.0,103.69999694824219
2007-06-19,31.502271033325915,31.502271033325915,31.35665319783822,31.499238967895508,19600,0.0,103.83000183105469
2007-06-20,31.502311908432084,31.502311908432084,31.22017669677734,31.220176696777344,16900,0.0,102.91000366210938
2007-06-21,31.247476065271805,31.377926786087723,31.247476065271805,31.277812957763672,13900,0.0,103.0999984741211
2007-06-22,31.314224809900992,31.356696930699812,31.198941355255343,31.3384952545166,27800,0.0,103.30000305175781
2007-06-25,31.33846466992768,31.350597565837468,31.141271550350048,31.15643882751465,29000,0.0,102.69999694824219
2007-06-26,31.229276811114055,31.30512020549538,31.156465486027145,31.247478485107422,43600,0.0,103.0
2007-06-27,31.183758740955913,31.18679312368115,31.08971370747627,31.13825225830078,6800,0.0,102.63999938964844
2007-06-28,31.110943783935376,31.138246279552682,30.92285143853521,30.974424362182617,9500,0.0,102.0999984741211
2007-06-29,30.97443030376019,31.095780152632855,30.886451721191406,30.886451721191406,14600,0.0,101.80999755859375
2007-07-02,31.036916115600842,31.210869244853942,30.94536318503692,31.12847137451172,19600,0.603,102.0
2007-07-03,31.097955486636952,31.097955486636952,31.00640022255729,31.07048797607422,11700,0.0,101.80999755859375
2007-07-05,31.08268066250042,31.08573312407187,30.81717471443362,30.957557678222656,14600,0.0,101.44000244140625
2007-07-06,30.954508271423812,31.06437361537843,30.85685044661373,30.991130828857422,8200,0.0,101.55000305175781
2007-07-09,30.95448651208506,31.1223368718999,30.942279001521747,31.08571434020996,8400,0.0,101.86000061035156
2007-07-10,30.969766280332983,31.052164118878874,30.82327838827289,31.003334045410156,19700,0.0,101.58999633789062
2007-07-11,31.012499485298203,31.015549619422668,30.68900598541237,30.771406173706055,17200,0.0,100.83000183105469
2007-07-12,30.82326525571524,30.862937927246094,30.734762531520193,30.862937927246094,8300,0.0,101.12999725341797
2007-07-13,30.914835580463723,30.9941809623839,30.82328035105281,30.991130828857422,5200,0.0,101.55000305175781
2007-07-16,30.936196186909754,31.07047423225662,30.902626093486525,31.003334045410156,17100,0.0,101.58999633789062
2007-07-17,31.036910306269814,31.039962768554688,30.890424713447185,31.039962768554688,10600,0.0,101.70999908447266
2007-07-18,31.02775992551179,31.02775992551179,30.7622538753631,30.808029174804688,15600,0.0,100.94999694824219
