date,open,high,low,close,volume
1995-01-03,26.39869117085844,26.47991791292262,26.389665977295753,26.443817138671875,324300
1995-01-04,26.561151882228646,26.57017707824707,26.42577394195225,26.57017707824707,351800
1995-01-05,26.588227470283925,26.633353450376056,26.543101490191795,26.57017707824707,89800
1995-01-06,26.624327479356985,26.71457943691413,26.516025130288416,26.597251892089844,448400
1995-01-09,26.588225923958472,26.624326705932617,26.570175532971398,26.624326705932617,36800
1995-01-10,26.687500390770715,26.795802725802588,26.651399612426758,26.651399612426758,229800
1995-01-11,26.741665706214967,26.741665706214967,26.461884526028445,26.669464111328125,222400
1995-01-12,26.64236793466447,26.696519089003218,26.58821678032572,26.678468704223633,40300
1995-01-13,26.82288314936672,26.994361877441406,26.78678236450889,26.994361877441406,170600
1995-01-16,26.98533964299728,27.165843587097594,26.98533964299728,27.156818389892578,105100
1995-01-17,27.102659970660543,27.183886723819363,27.06655919147884,27.165836334228516,89500
1995-01-18,27.147790531403288,27.19291651300469,27.075588960841046,27.138765335083008,84500
1995-01-19,27.04851267632832,27.075588264592913,26.967285911534542,26.985336303710938,139100
1995-01-20,26.94923517919299,26.958260375167267,26.83190763152738,26.886058807373047,78700
1995-01-23,26.70555825469644,26.96728897094727,26.687507860472245,26.967288970947266,53700
1995-01-24,26.95826527779115,27.003391265869137,26.940214882559953,27.00339126586914,32400
1995-01-25,26.868018180211386,27.174874954859416,26.868018180211386,27.075597763061523,15700
1995-01-26,27.057537061073287,27.13876382343141,27.00338588616787,27.102663040161133,9800
1995-01-27,27.283169591090772,27.283169591090772,27.10266565730916,27.210968017578125,91200
1995-01-30,27.1568042772917,27.174854662321472,27.057527159627956,27.0936279296875,26600
1995-01-31,27.147779843153824,27.24705696359089,27.102653879318794,27.20193099975586,127500
1995-02-01,27.238054315394198,27.337331518001665,27.147802313023774,27.192928314208984,380200
1995-02-02,27.183898422357,27.355377197265625,27.183898422357,27.355377197265625,131700
1995-02-03,27.526860618715403,27.78859142459827,27.481734617701115,27.743465423583984,405100
1995-02-06,27.734424171534258,27.942003656059246,27.707348586596215,27.860776901245117,405400
1995-02-07,27.905904391636472,27.905904391636472,27.806627241472178,27.896879196166992,702900
1995-02-08,27.860778414289065,27.996156346331286,27.8427280233501,27.896879196166992,521500
1995-02-09,27.851753218819585,27.89687919616699,27.797602046002694,27.896879196166992,390700
1995-02-10,27.860795142770005,27.932996749877926,27.77956833477359,27.93299674987793,148300
1995-02-13,27.914916232574814,27.99614295294118,27.914916232574814,27.941991806030273,79700
1995-02-14,28.03226436122771,28.03226436122771,27.869810800860005,27.978113174438477,170200
1995-02-15,27.978100560971242,28.1676296292875,27.951024979783206,28.131528854370117,431500
1995-02-16,28.09544563293457,28.122521231038906,28.014218838621556,28.09544563293457,99300
1995-02-17,28.068363616559548,28.08641401116827,27.97811164351595,27.987136840820312,49100
1995-02-21,27.987138372236682,28.03226436122771,27.96908797664027,27.978113174438477,168000
1995-02-22,28.005185988099765,28.185689926147457,27.987135594294994,28.18568992614746,386400
1995-02-23,28.293982707630946,28.393259839938423,28.221781156861873,28.230806350708008,402800
1995-02-24,28.266900636711902,28.31202659558277,28.194699102518513,28.303001403808594,307600
1995-02-27,28.221782334247074,28.303009082250984,28.032253255571288,28.07737922668457,280900
1995-02-28,28.050309640570052,28.312040328979492,28.050309640570052,28.312040328979492,493500
1995-03-01,28.284957147768992,28.321057922686375,28.10445327318208,28.131528854370117,242600
1995-03-02,28.12250898679607,28.16763496398926,28.041282227848328,28.167634963989258,488600
1995-03-03,28.077379585305213,28.17665672302246,28.00517803060176,28.17665672302246,290000
1995-03-06,27.987124608512417,28.194704055786133,27.95102383507351,28.194704055786133,85700
1995-03-07,28.095440745815154,28.158617130402597,27.851760405263594,27.978113174438477,180900
1995-03-08,28.023217396386343,28.086393731901545,27.923940297719597,28.05029296875,155900
1995-03-09,28.04127883911133,28.06835442215521,27.969077284327653,28.041278839111328,63500
1995-03-10,28.068369754412576,28.52865491758783,28.03226895730079,28.456453323364258,192100
1995-03-13,28.438397985185894,28.52864996228899,28.402297194344655,28.429372787475586,261300
1995-03-14,28.510592985709234,28.673046506995327,28.510592985709234,28.636945724487305,223300
1995-03-15,28.59182510881873,28.636951095417242,28.47449754366259,28.582799911499023,278500
1995-03-16,28.555723845247794,28.772328577323,28.555723845247794,28.7542781829834,20400
1995-03-17,28.71028459267538,28.81917315623799,28.69213649874828,28.78287696838379,89900
1995-03-20,28.81917315623799,28.81917315623799,28.72843268660248,28.78287696838379,91700
1995-03-21,28.782875651806858,28.964356582776638,28.664913046676503,28.710283279418945,104400
1995-03-22,28.764730916627016,28.764730916627016,28.64676829772602,28.73750877380371,74900
1995-03-23,28.701199583617544,28.837310236084907,28.66490340962625,28.755643844604492,220500
1995-03-24,28.846387024020736,29.16397857666016,28.846387024020736,29.163978576660156,134000
1995-03-27,29.209353814894918,29.28194618225098,29.13676144753886,29.281946182250977,132100
1995-03-28,29.209353814894918,29.28194618225098,29.17305763121689,29.281946182250977,121900
1995-03-29,29.25472483247685,29.554168355886198,29.109540093854136,29.272872924804688,246100
1995-03-30,29.33639408431438,29.33639408431438,29.10046886124226,29.21843147277832,298400
1995-03-31,28.99160382455481,29.136788695037716,28.773826518830457,29.100492477416992,541300
1995-04-03,29.091406359160853,29.173072814941406,29.073258257876287,29.173072814941406,193300
1995-04-04,29.182137893657895,29.363618850708008,29.182137893657895,29.363618850708008,66900
1995-04-05,29.300100515740468,29.390840994265524,29.281952420035456,29.363618850708008,107200
1995-04-06,29.436203665334013,29.49972198397068,29.381759392216875,29.47249984741211,352500
1995-04-07,29.536020537554204,29.536020537554204,29.309169381351794,29.445280075073242,361400
1995-04-10,29.399905127035733,29.499719619750977,29.381757037451145,29.499719619750977,285400
1995-04-11,29.572307259948168,29.581381303292737,29.381752349712233,29.399900436401367,250300
1995-04-12,29.445275350997207,29.499719619750977,29.390831082243437,29.499719619750977,150900
1995-04-13,29.55418017385348,29.672142821154708,29.536032074268675,29.663068771362305,243400
1995-04-17,29.771939832834097,29.799161966177135,29.39990401047927,29.490644454956055,178900
1995-04-18,29.51787719832559,29.51787719832559,29.318248148721175,29.390840530395508,329500
1995-04-19,29.390840994265524,29.45435932923306,29.20936003721541,29.363618850708008,223000
1995-04-20,29.4452870535799,29.49065729557309,29.291028230803057,29.40899085998535,207900
1995-04-21,29.41806180425169,29.563246563310305,29.41806180425169,29.55417251586914,145000
1995-04-24,29.53601926013443,29.898981094360355,29.53601926013443,29.89898109436035,169000
1995-04-25,29.853612240392554,29.89898247176093,29.7991679627505,29.81731605529785,293200
1995-04-26,29.76288083042552,29.862695369795848,29.690288438156188,29.844547271728516,204400
1995-04-27,29.799168819002865,29.93527951701902,29.781020725934045,29.917131423950195,502200
1995-04-28,29.90805724691002,30.007871758352984,29.717502270518903,29.962501525878906,130800
1995-05-01,29.935284589946434,29.998802926451322,29.880840301513675,29.880840301513672,518700
1995-05-02,29.908049297910747,29.989715694658685,29.84453098932902,29.944345474243164,228400
1995-05-03,30.04416378771411,30.36175537109375,30.04416378771411,30.36175537109375,724700
1995-05-04,30.39805121969378,30.597680212778336,30.271014587730882,30.34360694885254,311400
1995-05-05,30.47063332517704,30.47063332517704,30.243782273024145,30.307300567626953,314900
1995-05-08,30.280105170114997,30.624919073760296,30.25288301982721,30.525104522705078,183100
1995-05-09,30.65213978003264,30.68843597870645,30.452510687326686,30.497880935668945,180600
1995-05-10,30.57953847853957,30.588612525565843,30.38898349098784,30.534168243408203,330300
1995-05-11,30.579540906181407,30.615837097167972,30.47972638096835,30.61583709716797,351700
1995-05-12,30.497876700631814,30.70657981402501,30.488802652223413,30.633987426757812,94600
1995-05-15,30.715631716093927,30.779150009155273,30.65211342303258,30.779150009155273,147200
