date,open,high,low,close,volume,dividend,unadj_close
2007-09-10,59.17526892938129,60.03922731398448,59.17526892938129,59.98005294799805,14700,0.0,101.36000061035156
2007-09-11,59.938620997204005,59.968205918178846,59.814353493796006,59.8380241394043,43500,0.0,101.12000274658203
2007-09-12,60.03330515676504,60.03330515676504,59.861700859441044,59.95637893676758,86500,0.0,101.31999969482422
2007-09-13,59.914965709677695,59.914965709677695,59.68418249923245,59.72560501098633,15600,0.0,100.93000030517578
2007-09-14,60.00370946385436,60.00370946385436,59.73741810756649,59.772926330566406,49500,0.0,101.01000213623047
2007-09-17,59.784740454361405,59.784740454361405,59.61313172749005,59.672306060791016,27300,0.0,100.83999633789062
2007-09-18,59.701955278249144,59.701955278249144,59.51851330687939,59.630943298339844,134000,0.0,100.7699966430664
2007-09-19,59.44150707987759,59.5835308594151,59.376413976267315,59.55986022949219,30200,0.0,100.6500015258789
2007-09-20,59.46525156755849,59.46525156755849,58.980014338235954,59.003684997558594,30200,0.0,99.70999908447266
2007-09-21,59.12202548110195,59.2344554451226,59.11018789664778,59.198951721191406,37000,0.0,100.04000091552734
2007-09-24,59.15158255801494,59.187086265227244,59.14566376857504,59.169334411621094,28700,0.0,99.98999786376953
2007-09-25,59.40013661083199,59.411974193512734,59.28178787231446,59.28178787231445,47700,0.0,100.18000030517578
2007-09-26,59.127969063453094,59.35283813237469,59.127969063453094,59.29365921020508,47000,0.0,100.19999694824219
2007-09-27,59.25808376185458,60.77296843013802,59.25808376185458,59.45928192138672,47600,0.0,100.4800033569336
2007-09-28,59.672350891713144,59.672350891713144,59.39423086478009,59.59542465209961,43200,0.0,100.70999908447266
2007-10-01,59.42382639719871,59.53034210205078,59.42382639719871,59.53034210205078,36200,0.0,100.5999984741211
2007-10-02,59.530288376316896,59.70781589575828,59.5184553152199,59.678226470947266,15600,0.0,100.8499984741211
2007-10-03,59.67231562692778,59.70782384437051,59.471121958508476,59.642730712890625,38200,0.0,100.79000091552734
