date,close,volume
2004-01-02,15.667652130126953,860200
2004-01-05,16.032381057739258,953200
2004-01-06,16.02836799621582,710000
2004-01-07,15.811932563781738,732400
2004-01-08,15.547393798828125,1125600
2004-01-09,15.266834259033203,1445600
2004-01-12,15.210719108581543,856000
2004-01-13,15.250797271728516,1208600
2004-01-14,15.848000526428223,897400
2004-01-15,15.691689491271973,825600
2004-01-16,15.872053146362305,395200
2004-01-20,15.407112121582031,2016400
2004-01-21,15.407112121582031,1306600
2004-01-22,15.403108596801758,825000
2004-01-23,15.138574600219727,1537600
2004-01-26,15.0584077835083,1575800
2004-01-27,15.086470603942871,1068400
2004-01-28,14.817930221557617,771200
2004-01-29,14.890067100524902,850000
2004-01-30,14.853998184204102,1384400
2004-02-02,14.858002662658691,902400
2004-02-03,15.262826919555664,1190000
2004-02-04,14.950191497802734,1176000
2004-02-05,16.324962615966797,3519600
2004-02-06,16.365053176879883,2436800
2004-02-09,16.316951751708984,1433800
2004-02-10,16.01634979248047,4362600
2004-02-11,16.312936782836914,3987400
2004-02-12,16.349014282226562,1065600
2004-02-13,16.19269561767578,1129000
2004-02-17,16.56946563720703,1637200
2004-02-18,16.393108367919922,1117800
2004-02-19,16.324962615966797,850400
2004-02-20,16.24079704284668,945000
2004-02-23,15.980276107788086,609800
2004-02-24,16.112539291381836,1252400
2004-02-25,16.128570556640625,628200
2004-02-26,16.136592864990234,861600
2004-02-27,16.525371551513672,1840800
2004-03-01,16.39711570739746,1267200
2004-03-02,16.204723358154297,753400
2004-03-03,16.2327823638916,1042800
2004-03-04,16.421167373657227,939800
2004-03-05,16.320566177368164,1001000
2004-03-08,16.09523582458496,865800
2004-03-09,16.002681732177734,1157600
2004-03-10,15.628474235534668,1171400
2004-03-11,14.888092041015625,2563400
2004-03-12,15.431309700012207,1474400
2004-03-15,15.330706596374512,1525400
2004-03-16,15.431309700012207,1369000
2004-03-17,15.576160430908203,791600
2004-03-18,15.463497161865234,713200
2004-03-19,15.322665214538574,644000
2004-03-22,15.008804321289062,1216800
2004-03-23,15.004780769348145,860600
2004-03-24,15.141584396362305,838000
2004-03-25,15.33875846862793,641400
2004-03-26,15.290468215942383,882600
2004-03-29,15.43935489654541,548600
2004-03-30,15.73309326171875,1129800
2004-03-31,15.568111419677734,803400
2004-04-01,15.290468215942383,1679200
2004-04-02,15.081236839294434,3482800
2004-04-05,15.527874946594238,1280200
2004-04-06,15.503730773925781,1141200
2004-04-07,15.531901359558105,737000
2004-04-08,15.415212631225586,943400
2004-04-12,15.411186218261719,391400
2004-04-13,15.330706596374512,785800
2004-04-14,15.286449432373047,914200
2004-04-15,15.350831985473633,634600
2004-04-16,15.572136878967285,861800
2004-04-19,15.39509391784668,779000
2004-04-20,15.222070693969727,482800
2004-04-21,15.286449432373047,406800
2004-04-22,15.72102165222168,838200
2004-04-23,15.64858627319336,579000
2004-04-26,15.624443054199219,586800
2004-04-27,15.877942085266113,845800
2004-04-28,15.636526107788086,994000
2004-04-29,15.254258155822754,1216600
2004-04-30,15.354851722717285,961200
2004-05-03,15.692851066589355,1205800
2004-05-04,15.700907707214355,1131400
2004-05-05,15.592249870300293,901000
2004-05-06,15.374981880187988,963200
2004-05-07,14.932351112365723,1251000
2004-05-10,14.823713302612305,1793000
2004-05-11,14.83577823638916,484800
2004-05-12,14.888092041015625,1099000
2004-05-13,15.133543014526367,1144000
2004-05-14,15.153666496276855,1329200
2004-05-17,15.085264205932617,1510600
2004-05-18,15.089286804199219,1078800
2004-05-19,15.270355224609375,1832600
2004-05-20,15.350831985473633,1581800
2004-05-21,15.507758140563965,899400
2004-05-24,15.861854553222656,1066000
2004-05-25,16.034875869750977,1692800
2004-05-26,16.16364097595215,1295800
2004-05-27,16.191804885864258,969000
2004-05-28,16.264230728149414,681200
2004-06-01,16.31654930114746,1021800
2004-06-02,16.328617095947266,985600
2004-06-03,16.292402267456055,635200
2004-06-04,16.284320831298828,541200
2004-06-07,16.68022346496582,1699000
2004-06-08,17.455854415893555,2656200
2004-06-09,17.46394157409668,1817800
2004-06-10,17.60936737060547,1354600
2004-06-14,17.443737030029297,1020800
2004-06-15,17.427576065063477,1539200
2004-06-16,17.73863983154297,1100000
2004-06-17,18.122421264648438,2544400
2004-06-18,18.03758430480957,1668800
2004-06-21,18.195127487182617,1570800
2004-06-22,18.203214645385742,1504000
2004-06-23,18.485998153686523,1615600
2004-06-24,18.599111557006836,1870800
2004-06-25,18.7728214263916,1245000
2004-06-28,18.950571060180664,2210600
2004-06-29,18.809171676635742,2632800
2004-06-30,19.25758934020996,2232600
2004-07-01,18.84149169921875,2151400
2004-07-02,18.889978408813477,1874200
2004-07-06,18.82938575744629,1697000
2004-07-07,18.930370330810547,1951600
2004-07-08,18.530439376831055,1668000
2004-07-09,18.61527442932129,1874600
2004-07-12,18.429443359375,2122200
2004-07-13,18.401153564453125,1548600
2004-07-14,18.288047790527344,1649600
2004-07-15,18.47791862487793,1239000
2004-07-16,18.183019638061523,1122800
2004-07-19,18.045663833618164,1984000
2004-07-20,18.174936294555664,984800
2004-07-21,18.10625648498535,1379800
2004-07-22,17.77096176147461,2093600
2004-07-23,17.581085205078125,1358000
2004-07-26,17.346786499023438,1743200
2004-07-27,17.585124969482422,1312200
2004-07-28,17.379100799560547,2978400
2004-07-29,18.453678131103516,2595800
2004-07-30,18.401153564453125,1105600
2004-08-02,18.39712142944336,1220600
2004-08-03,17.76692008972168,1990600
2004-08-04,17.573007583618164,2065200
2004-08-05,17.213472366333008,1735800
2004-08-06,16.829692840576172,1334800
2004-08-09,16.862010955810547,1006000
2004-08-10,17.467973709106445,1644600
2004-08-11,17.15691566467285,997600
2004-08-12,16.92664337158203,1073200
2004-08-13,17.104389190673828,1328600
2004-08-16,17.391218185424805,771600
2004-08-17,17.573007583618164,966000
2004-08-18,17.74671745300293,1070000
2004-08-19,17.488178253173828,1148600
2004-08-20,17.653806686401367,689600
2004-08-23,17.633607864379883,737800
2004-08-24,17.637643814086914,770800
2004-08-25,17.577045440673828,751000
2004-08-26,17.641681671142578,765600
2004-08-27,17.49222183227539,1076600
2004-08-30,17.314476013183594,791200
2004-08-31,17.27002716064453,1047000
2004-09-01,17.29425811767578,945400
2004-09-02,17.480091094970703,576600
2004-09-03,17.407102584838867,436200
2004-09-07,18.18562126159668,1665200
2004-09-08,17.978830337524414,1298000
2004-09-09,17.893678665161133,605400
2004-09-10,17.788257598876953,810000
2004-09-13,18.38836669921875,2596400
2004-09-14,18.27077293395996,1126400
2004-09-15,18.22617530822754,1669800
2004-09-16,18.400527954101562,692000
2004-09-17,18.22617530822754,740400
2004-09-20,18.238332748413086,796200
2004-09-21,18.408634185791016,1107400
2004-09-22,18.31943130493164,1163600
2004-09-23,17.995044708251953,754200
2004-09-24,17.82068634033203,893400
2004-09-27,17.982887268066406,819800
2004-09-28,17.861230850219727,848000
2004-09-29,18.039649963378906,882200
2004-09-30,18.05181121826172,1332000
2004-10-01,18.03558921813965,1022200
2004-10-04,18.023427963256836,1045400
2004-10-05,17.905845642089844,722600
2004-10-06,18.092365264892578,993200
2004-10-07,18.0802001953125,933000
2004-10-08,18.068038940429688,817000
2004-10-11,18.03558921813965,806600
2004-10-12,17.95450210571289,830000
2004-10-13,17.877464294433594,764400
2004-10-14,17.532804489135742,1561000
2004-10-15,17.735553741455078,922600
2004-10-18,17.67877197265625,730000
2004-10-19,17.524694442749023,510600
2004-10-20,17.524694442749023,812800
2004-10-21,17.869352340698242,1126800
2004-10-22,17.617944717407227,687800
2004-10-25,17.946388244628906,978200
2004-10-26,18.34375762939453,1039600
2004-10-27,18.708690643310547,1167600
2004-10-28,18.331592559814453,1644800
2004-10-29,18.830331802368164,1831800
