date,open,high,low,close,volume
2004-01-02,16.411306483255917,16.52634678070992,16.321431106230694,16.378952026367188,428850
2004-01-05,16.45102180617741,16.544718148963316,16.346513514157113,16.494266510009766,610425
2004-01-06,16.48706314985672,16.52670439844259,16.39697024664506,16.451026916503906,631800
2004-01-07,16.396964704199295,16.44381442086221,16.324890715302786,16.433002471923828,875925
2004-01-08,16.38615430181347,16.51588840975872,16.317682233826346,16.433002471923828,476550
2004-01-09,16.429403918202684,16.48706250794352,16.400574623332265,16.422195434570312,439875
2004-01-12,16.414988257790736,16.47625186172966,16.328498827889423,16.378952026367188,637425
2004-01-13,16.433004340986464,16.469042112809873,16.159120677544568,16.25642204284668,555075
2004-01-14,16.227588467172332,16.378946464656806,16.227588467172332,16.36092758178711,536400
2004-01-15,16.216781087010837,16.32128938988586,16.076236558234363,16.28525161743164,1151325
2004-01-16,16.36093538010573,16.487064527207192,16.2996717677689,16.34291648864746,642600
2004-01-20,16.299668352643938,16.472647199915464,16.285252933187017,16.469043731689453,656325
2004-01-21,16.50508287038028,16.793380457461993,16.443819265819076,16.764551162719727,623475
2004-01-22,16.667255660879142,16.858253479003906,16.652841781698562,16.858253479003906,580275
2004-01-23,16.865440368652344,17.020401758051175,16.796969884282852,16.865440368652344,534375
2004-01-26,16.91229768848128,16.9879751380087,16.728506945539113,16.98076820373535,797625
2004-01-27,16.937529543869992,17.013207020379337,16.854643583964776,16.94473648071289,463275
2004-01-28,16.91951686426818,17.056459540408735,16.753744883623394,16.77897071838379,640800
2004-01-29,16.77896552549498,16.937530517578125,16.724910402959768,16.937530517578125,896850
2004-01-30,16.883466480247957,17.096086502075195,16.865447598415624,17.096086502075195,643050
2004-02-02,17.096088984754772,17.40601039486218,17.045637345539603,17.254653930664062,732600
2004-02-03,17.218618141180954,17.474482927354963,17.193392318673464,17.366371154785156,544950
2004-02-04,17.351953741515118,17.384388042833876,17.08167511443764,17.254653930664062,786600
2004-02-05,17.215020263115882,17.315925132463683,17.15375664767448,17.269075393676758,480150
2004-02-06,17.207810021385203,17.478090286254883,17.207810021385203,17.478090286254883,452475
2004-02-09,17.41321891887708,17.57899081507067,17.406011983060925,17.532142639160156,596475
2004-02-10,17.67629269631217,18.090722485129366,17.67629269631217,17.98261070251465,1480050
2004-02-11,17.910538174448117,18.18081844990601,17.820445264813216,18.133970260620117,844650
2004-02-12,17.910539642009606,18.18442340884599,17.910539642009606,18.072708129882812,681300
2004-02-13,17.98260984730838,18.119550916590153,17.942968604476064,18.036664962768555,821700
2004-02-17,18.12675712334153,18.515959473374238,18.083510871229677,18.42947006225586,865350
2004-02-18,18.501544748065786,18.602449580329193,18.451093105210443,18.584430694580078,1145250
2004-02-19,18.584431597736778,18.584431597736778,18.37902000194092,18.415056228637695,1274625
2004-02-20,18.469115070971974,18.505151301927086,18.368210221881114,18.494340896606445,1166175
2004-02-23,18.53037472389085,18.62046760942168,18.389830193635422,18.54839515686035,1035450
2004-02-24,18.548394917037534,18.685334430996825,18.425866181677517,18.59524154663086,1028925
