date,close,volume
2004-01-02,21.754589080810547,11900
2004-01-05,21.98908042907715,34500
2004-01-06,21.98908042907715,12500
2004-01-07,22.00470542907715,17100
2004-01-08,22.030757904052734,38200
2004-01-09,22.05160903930664,13500
2004-01-12,21.98908042907715,20000
2004-01-13,22.19750213623047,25500
2004-01-14,22.27566909790039,12100
2004-01-15,22.119340896606445,339000
2004-01-16,22.041183471679688,92700
2004-01-20,21.93697166442871,93100
2004-01-21,22.40593910217285,30900
2004-01-22,22.244409561157227,34100
2004-01-23,22.385089874267578,22600
2004-01-26,22.45803451538086,9800
2004-01-27,22.343402862548828,11400
2004-01-28,22.35382080078125,16900
2004-01-29,22.32256317138672,7900
2004-01-30,22.447614669799805,13200
2004-02-02,22.666467666625977,14600
2004-02-03,22.598722457885742,19200
2004-02-04,22.687301635742188,23900
2004-02-05,22.692522048950195,4200
2004-02-06,22.9270076751709,14300
2004-02-09,23.312589645385742,27200
2004-02-10,23.38553237915039,24300
2004-02-11,23.692968368530273,27100
2004-02-12,23.70859718322754,100100
2004-02-13,25.115493774414062,173400
2004-02-17,24.458940505981445,126000
2004-02-18,24.50061798095703,64200
2004-02-19,24.808063507080078,63200
2004-02-20,24.646533966064453,50100
2004-02-23,24.849729537963867,25700
2004-02-24,24.823694229125977,43300
2004-02-25,24.844520568847656,59400
2004-02-26,25.011274337768555,43600
2004-02-27,24.735107421875,44600
2004-03-01,24.990427017211914,38300
2004-03-02,24.688209533691406,29800
2004-03-03,24.662155151367188,12300
2004-03-04,24.182775497436523,84700
2004-03-05,24.24009895324707,48800
2004-03-08,24.474573135375977,44200
2004-03-09,24.41204261779785,23500
2004-03-10,24.39120101928711,11600
2004-03-11,23.833656311035156,24900
2004-03-12,24.177553176879883,16400
2004-03-15,23.969133377075195,36100
2004-03-16,24.229677200317383,75500
2004-03-17,24.427669525146484,51700
2004-03-18,24.78200340270996,17100
2004-03-19,24.51625633239746,32500
2004-03-22,24.333879470825195,21800
2004-03-23,24.281782150268555,21500
2004-03-24,24.229677200317383,37400
2004-03-25,24.349523544311523,21000
2004-03-26,24.29219627380371,25600
2004-03-29,24.802846908569336,30600
2004-03-30,25.021705627441406,79700
2004-03-31,25.146747589111328,40300
2004-04-01,25.358736038208008,24700
2004-04-02,25.5576171875,35200
2004-04-05,25.798397064208984,74900
2004-04-06,25.48957633972168,8200
2004-04-07,25.400604248046875,8800
2004-04-08,25.432003021240234,7000
