date,open,high,low,close,volume
2004-01-02,27.511756896972653,27.74075542381281,27.373293663585695,27.511756896972656,6463600
2004-01-05,27.692820983360843,27.7354262984712,27.426543858520834,27.671518325805664,8433800
2004-01-06,27.538390415149387,27.740761677133673,27.453181783503478,27.549041748046875,7298000
2004-01-07,27.506445365860063,27.57567599980422,27.405258693652463,27.55970001220703,7279200
2004-01-08,27.559695562000858,27.68750953674316,27.426556936097473,27.687509536743164,6464900
2004-01-09,27.639589342606325,27.639589342606325,27.367985311877476,27.37331199645996,6427300
2004-01-12,27.421222658634242,27.95910162458485,27.415895977808898,27.90052032470703,10459500
2004-01-13,27.905849849601367,28.092243066815097,27.714129951019416,27.825965881347656,7402800
2004-01-14,27.78870057145832,27.911187891761074,27.634259242215194,27.692840576171875,6410600
2004-01-15,27.730117086803837,28.092254367235988,27.51176978814926,27.607629776000977,7112400
2004-01-16,27.421231577197318,27.421231577197318,26.85672308658455,26.867374420166016,15364000
2004-01-20,27.053778380954082,27.666217099185197,27.053778380954082,27.42656707763672,14023400
2004-01-21,27.43188772197538,28.03900169835519,27.42656306962352,27.991071701049805,11084500
2004-01-22,28.03899169861496,28.33722088079147,28.023013684188406,28.252012252807617,8893500
2004-01-23,28.385149675399727,28.518288278034372,28.092245155910277,28.225383758544922,9367400
2004-01-26,28.225387644544938,28.550246204744596,28.161481675311375,28.49166488647461,7999100
2004-01-27,28.411777013555973,28.598172276321822,28.374498367309574,28.37449836730957,8900400
2004-01-28,28.438408520942826,28.5555691188224,28.28396724244928,28.31059455871582,8381300
2004-01-29,28.331899925948036,28.779245789098475,28.241364604167938,28.69936180114746,7692000
2004-01-30,28.66208881775763,28.715343465902393,28.41178750210112,28.449066162109375,6592900
2004-02-02,28.44373867560764,28.699364617992718,28.252018710935236,28.507644653320312,7009400
2004-02-03,28.571546786340217,28.71001004816273,28.443732825667606,28.672731399536133,5047600
2004-02-04,28.747293518366565,29.194639408449845,28.678060860076418,29.01357078552246,9436700
2004-02-05,29.05083537636562,29.210601253006736,28.949650795184024,29.024208068847656,7138300
2004-02-06,29.01889437879494,29.104103013951033,28.79522044180138,28.837825775146484,6603100
2004-02-09,28.880428565618665,28.91770721586854,28.555570014983395,28.8165225982666,6071800
2004-02-10,28.81653069810934,29.10411067932863,28.795228025826137,28.986948013305664,5686200
2004-02-11,28.907064046195497,29.205295363950338,28.7579494030854,29.104110717773438,7302400
2004-02-12,29.146904187973643,29.366214628448947,29.050621356497096,29.20574188232422,5764400
2004-02-13,29.216424509321985,29.344802229171087,28.932926346960787,29.0078125,4994700
2004-02-17,29.141553814154395,29.221790186682565,28.986431248864314,29.104110717773438,4818400
2004-02-18,28.938277958257096,29.002467846136785,28.788505634194248,28.82594871520996,4725700
2004-02-19,28.884803476508743,28.965039857919646,28.649446553130545,28.654794692993164,8285800
2004-02-20,28.751071586409513,28.7724682224253,28.483619757698726,28.510364532470703,7212400
2004-02-23,28.611995402784224,28.611995402784224,28.23756246237114,28.376636505126953,7412800
2004-02-24,28.62268883760492,29.055961459413464,28.62268883760492,28.981075286865234,12268600
2004-02-25,28.858062792793042,29.055976643740227,28.75108161589048,28.916902542114258,7286100
2004-02-26,28.713630870018154,29.039922454529037,28.713630870018154,28.86875343322754,4962700
2004-02-27,28.884790339892994,29.09875256601613,28.831300803609714,28.83664894104004,4967100
2004-03-01,29.146907406368896,29.146907406368896,28.622699914671166,28.756425857543945,6921500
2004-03-02,28.628053296786973,28.724336149663195,28.24827206627309,28.280364990234375,10710000
2004-03-03,28.189413576932505,28.563846418014077,28.189413576932505,28.46756362915039,6706500
2004-03-04,28.376632687720306,28.46756735153533,28.264303432856245,28.365934371948242,3958000
2004-03-05,28.253601338112645,28.633382314996695,28.226856572507188,28.419422149658203,7141300
2004-03-08,28.57989476372584,28.756411861346365,28.344537953400152,28.40337562561035,5588400
2004-03-09,28.371284232806804,28.376632370385483,28.10918060055999,28.173368453979492,6423800
2004-03-10,28.141270729711884,28.210808749300174,27.670555124067246,27.691951751708984,9345100
2004-03-11,27.62775936064185,27.975445320350808,27.280071360438505,27.338911056518555,9841900
2004-03-12,27.36032459756758,27.408466011354037,27.012636382388088,27.12496566772461,10039500
2004-03-15,27.124961710304625,27.333573792778417,26.900303172408336,27.05007553100586,7877500
2004-03-16,27.157079776440533,27.397787015133044,27.07149520718287,27.322900772094727,6583200
2004-03-17,27.44054745379251,27.62241471422406,27.076812932929414,27.21588897705078,7599200
2004-03-18,27.237298960153844,27.478006064498445,27.221252500029518,27.269393920898438,6196900
2004-03-19,27.27472983670614,27.354964135861522,26.750522621182224,26.77191925048828,10158900
2004-03-22,26.771916744305845,26.777266921378956,26.343994400717992,26.477720260620117,9306200
2004-03-23,26.761228143971266,26.761228143971266,26.39749350977596,26.557966232299805,6573300
2004-03-24,26.504474644626715,26.739833549397456,26.47772987103788,26.557966232299805,6845700
2004-03-25,26.718426016829987,26.884244769746413,26.450974309034883,26.85215187072754,9804900
2004-03-26,27.012632008649994,27.012632008649994,26.771924978691672,26.81471824645996,5767800
2004-03-29,26.964491034593653,27.21054620671683,26.959142896284607,27.05007553100586,6578300
2004-03-30,27.01798814570808,27.19985550657557,26.89496052519418,26.969846725463867,5754900
2004-03-31,27.039373488556993,27.23728722664988,26.905647603805974,27.130308151245117,7201900
